Wall time,Step,Value
1677006315.793473,2625536,-2046.7939453125
1677006341.173326,2633728,-2051.409912109375
1677006353.2158782,2637824,-2018.7647705078125
1677006378.711603,2646016,-2000.2183837890625
1677006385.3880973,2648064,-2008.50146484375
1677006391.9677014,2650112,-1986.8746337890625
1677006398.5609753,2652160,-2002.8359375
1677006410.8076272,2656256,-2019.4415283203125
1677006430.1968608,2662400,-2020.2020263671875
1677006436.3905725,2664448,-2042.978515625
1677006449.4956298,2668544,-2050.342041015625
1677006456.1792989,2670592,-2056.779052734375
1677006462.5555317,2672640,-2089.61083984375
1677006501.4015975,2684928,-1974.5826416015625
1677006514.5289502,2689024,-2008.7489013671875
1677006521.065735,2691072,-2002.211181640625
1677006533.9506447,2695168,-1990.6220703125
1677006540.6726143,2697216,-1977.2628173828125
1677006564.0823019,2703360,-1920.148681640625
1677006570.3003929,2705408,-1911.975830078125
1677006603.241777,2715648,-1815.71142578125
1677006609.8886344,2717696,-1799.498779296875
1677006616.7548783,2719744,-1835.10107421875
1677006636.2017436,2725888,-1985.7301025390625
1677006649.644702,2729984,-1935.9552001953125
1677006656.2629278,2732032,-1948.1551513671875
1677006662.3923037,2734080,-1944.425537109375
1677006669.1562471,2736128,-1979.1192626953125
1677006675.778795,2738176,-1977.749267578125
1677006682.2963867,2740224,-1934.251953125
1677006721.8502815,2752512,-1993.3570556640625
1677006753.8392744,2762752,-1891.2965087890625
1677006760.408749,2764800,-1855.4193115234375
1677006766.7379649,2766848,-1823.2940673828125
1677006773.376672,2768896,-1844.826416015625
1677006799.8559484,2777088,-1771.220947265625
1677006825.9792957,2785280,-1764.26025390625
1677006839.4238367,2789376,-1820.5438232421875
1677006846.1757593,2791424,-1829.0079345703125
1677006871.9287295,2799616,-1855.66650390625
1677006903.6921399,2807808,-1856.5687255859375
1677006949.4826417,2822144,-1892.2225341796875
1677006962.281623,2826240,-1984.452880859375
1677006981.8290255,2832384,-1967.327880859375
1677006995.3584464,2836480,-1941.0252685546875
1677007002.0403006,2838528,-1956.6776123046875
1677007015.1303391,2842624,-1988.614501953125
1677007021.504979,2844672,-1978.3441162109375
1677007028.067422,2846720,-1990.664306640625
1677007040.6898074,2850816,-2017.748291015625
1677007047.1964574,2852864,-2015.7205810546875
1677007066.6721573,2859008,-1979.0264892578125
1677007176.5621836,2893824,-1922.8582763671875
1677007182.7381458,2895872,-1907.8603515625
1677007189.3288999,2897920,-1915.2158203125
1677007195.8704307,2899968,-1918.390869140625
1677007225.3700979,2908160,-1904.5584716796875
1677007244.7269702,2914304,-1878.8580322265625
1677007251.3682637,2916352,-1863.7125244140625
1677007270.9197176,2922496,-1911.3978271484375
1677007277.24125,2924544,-1890.4423828125
1677007283.7589862,2926592,-1874.4427490234375
1677007309.6616266,2934784,-1740.0994873046875
1677007315.767624,2936832,-1728.1563720703125
1677007321.9011762,2938880,-1739.8826904296875
1677007334.9008985,2942976,-1758.4837646484375
1677007341.2529564,2945024,-1756.541259765625
1677007347.5530422,2947072,-1747.9677734375
1677007360.5845575,2951168,-1768.830810546875
1677007373.7950156,2955264,-1809.097412109375
1677007412.7545323,2967552,-1848.6656494140625
1677007425.4116843,2971648,-1918.6356201171875
1677007457.9530163,2981888,-1946.63623046875
1677007464.1871476,2983936,-2002.0361328125
1677007525.7810745,3002368,-2062.4033203125
1677007531.9431303,3004416,-2078.129638671875
1677007602.230438,3026944,-2093.486083984375
1677007628.0682418,3035136,-2051.376220703125
1677007634.4940822,3037184,-2069.67919921875
1677007654.2408957,3043328,-2062.351806640625
1677007660.7632315,3045376,-2090.459228515625
1677007680.5100253,3051520,-2033.3084716796875
1677007692.925732,3055616,-1996.3294677734375
1677007699.2049935,3057664,-2031.7823486328125
1677007705.543192,3059712,-2004.591064453125
1677007750.3961575,3074048,-1965.750244140625
1677007757.0537212,3076096,-1958.16650390625
1677007763.6758096,3078144,-1945.443359375
1677007770.2815163,3080192,-1963.6761474609375
1677007783.1106188,3084288,-1977.1478271484375
1677007789.6448326,3086336,-2013.309326171875
1677007802.680048,3090432,-2029.8773193359375
1677007809.2581933,3092480,-2030.5838623046875
1677007815.7915668,3094528,-2011.0751953125
1677007821.995794,3096576,-2026.119384765625
1677007858.4221191,3106816,-2057.909423828125
1677007871.1979532,3110912,-2104.32958984375
1677007903.7904694,3121152,-2152.850830078125
1677007909.8172069,3123200,-2139.440185546875
1677007929.015976,3129344,-2117.34326171875
1677007973.5230381,3143680,-1968.055419921875
1677007986.4294267,3147776,-1978.3953857421875
1677008051.3518484,3168256,-1998.2655029296875
1677008064.0486853,3172352,-2016.6768798828125
1677008070.504284,3174400,-2006.377685546875
1677008083.16176,3178496,-2047.34228515625
1677008089.7594755,3180544,-2097.438720703125
1677008102.8647237,3184640,-2172.318603515625
1677008109.3890703,3186688,-2171.177001953125
1677008148.1987865,3198976,-2105.779541015625
1677008159.389306,3201024,-2161.632568359375
1677008198.2644172,3213312,-1993.3265380859375
1677008204.7011018,3215360,-1938.712158203125
1677008262.944857,3233792,-1891.7264404296875
1677008289.3748949,3241984,-1908.56591796875
1677008303.039781,3246080,-1839.0439453125
1677008329.6078281,3254272,-1846.8333740234375
1677008369.4330935,3266560,-1874.7645263671875
1677008382.7210686,3270656,-1814.0167236328125
1677008389.2747471,3272704,-1837.3172607421875
1677008402.303904,3276800,-1817.142333984375
1677008421.931809,3282944,-1834.1025390625
1677008434.804471,3287040,-1860.478515625
1677008441.2578518,3289088,-1872.3875732421875
1677008467.430256,3297280,-1813.6478271484375
1677008473.9390671,3299328,-1782.5345458984375
1677008490.138853,3303424,-1804.2177734375
1677008496.8130426,3305472,-1803.8411865234375
1677008503.5177088,3307520,-1788.2935791015625
1677008510.0003972,3309568,-1778.214599609375
1677008529.7785835,3315712,-1742.2615966796875
1677008536.368742,3317760,-1740.985595703125
